epsiode,reward
282,-117.0242286371571
283,-117.0242286371571
284,-124.86660083543346
285,-124.86660083543346
286,-120.99933732491404
287,-120.99933732491404
288,-248.41741218380142
289,-248.41741218380142
290,-241.34046978555233
291,-241.34046978555233
292,-124.56491058181685
293,-124.56491058181685
294,-239.7888683785429
295,-239.7888683785429
296,-2.023341531472991
297,-2.023341531472991
298,-123.70935429513165
299,-123.70935429513165
300,-118.80185017721917
301,-118.80185017721917
302,-233.41777452414019
303,-233.41777452414019
304,-118.76064452933367
305,-118.76064452933367
306,-115.36046652622191
307,-115.36046652622191
308,-3.937607279010282
309,-3.937607279010282
310,-1.3333071911684422
311,-1.3333071911684422
312,-115.0177833123167
313,-115.0177833123167
314,-119.29302191446912
315,-119.29302191446912
316,-121.40305144748886
317,-121.40305144748886
318,-127.51674123687171
319,-127.51674123687171
320,-1.1994261218850677
321,-1.1994261218850677
322,-124.69854421770907
323,-124.69854421770907
324,-118.57856936477404
325,-118.57856936477404
326,-124.84102520169981
327,-124.84102520169981
328,-0.6770055956483744
329,-0.6770055956483744
330,-120.20863724710583
331,-120.20863724710583
332,-254.47812707195436
333,-254.47812707195436
334,-120.94861181490667
335,-120.94861181490667
336,-319.40792389276055
337,-319.40792389276055
338,-114.27918060910292
339,-114.27918060910292
340,-117.02315049934933
341,-117.02315049934933
342,-123.22622819393902
343,-123.22622819393902
344,-226.7207907042088
345,-226.7207907042088
346,-330.9832413815171
347,-330.9832413815171
348,-117.3945497494566
349,-117.3945497494566
350,-2.0104534820483493
351,-2.0104534820483493
352,-120.40860911532997
353,-120.40860911532997
354,-123.96378582608229
355,-123.96378582608229
356,-368.05959831442834
357,-368.05959831442834
358,-125.53919625222291
359,-125.53919625222291
360,-124.00446603351106
361,-124.00446603351106
362,-350.4463409125553
363,-350.4463409125553
364,-118.21792011795044
365,-118.21792011795044
366,-2.1969704350923247
367,-2.1969704350923247
368,-121.06824044134426
369,-121.06824044134426
370,-114.78495144421947
371,-114.78495144421947
372,-123.56080907468703
373,-123.56080907468703
374,-115.51495156614078
375,-115.51495156614078
376,-123.91483650295277
377,-123.91483650295277
378,-123.47703274596748
379,-123.47703274596748
380,-121.95992725677802
381,-121.95992725677802
382,-121.09810939891138
383,-121.09810939891138
384,-117.91472294739016
385,-117.91472294739016
386,-114.10858135809524
387,-114.10858135809524
388,-227.97254606565807
389,-227.97254606565807
390,-124.54022663284833
391,-124.54022663284833
392,-1.4405497732955044
393,-1.4405497732955044
394,-120.12828336314509
395,-120.12828336314509
396,-232.1592567766659
397,-232.1592567766659
398,-115.58961256589133
399,-115.58961256589133
